"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16939-11999","WR","Victor","","Cruz","6.775000095367432","8","4900","CHI@NYG","NYG","CHI","","","",""
"16939-14237","TE","Kyle","","Rudolph","9.744444105360243","9","4900","ARI@MIN","MIN","ARI","","","",""
"16939-14240","TE","Lance","","Kendricks","6.177777608235677","9","4900","MIA@LA","LA","MIA","","","",""
"16939-33714","K","Cairo","","Santos","10.333333333333334","9","4900","TB@KC","KC","TB","","","",""
"16939-14288","WR","Torrey","","Smith","4.977777693006727","9","4900","NE@SF","SF","NE","Q","Shoulder","",""
"16939-28694","TE","Jesse","","James","6.122222052680121","9","4800","PIT@CLE","PIT","CLE","","","",""
"16939-14362","TE","Charles","","Clay","4.755555470784505","9","4800","BUF@CIN","BUF","CIN","","","",""
"16939-48344","WR","Albert","","Wilson","4.442857197352818","7","4800","TB@KC","KC","TB","","","",""
"16939-12539","D","Miami","","Dolphins","8","9","4800","MIA@LA","MIA","LA","","","",""
"16939-11532","TE","Dennis","","Pitta","6.722222222222222","9","4800","BAL@DAL","BAL","DAL","","","",""
"16939-24912","K","Dustin","","Hopkins","10.555555555555555","9","4800","GB@WAS","WAS","GB","","","",""
"16939-43413","RB","Kenneth","","Dixon","3.1799999237060548","5","4800","BAL@DAL","BAL","DAL","","","",""
"16939-27134","WR","Dorial","","Green-Beckham","4.300000190734863","8","4800","PHI@SEA","PHI","SEA","","","",""
"16939-28202","RB","Jeremy","","Langford","6.6","5","4800","CHI@NYG","CHI","NYG","","","",""
"16939-6724","K","Steven","","Hauschka","9","9","4800","PHI@SEA","SEA","PHI","","","",""
"16939-7784","WR","Darrius","","Heyward-Bey","5.549999872843425","6","4800","PIT@CLE","PIT","CLE","O","Foot","",""
"16939-30403","WR","Chris","","Conley","5.122222052680121","9","4800","TB@KC","KC","TB","","","",""
"16939-29500","WR","Markus","","Wheaton","5.033333460489909","3","4800","PIT@CLE","PIT","CLE","O","Shoulder","",""
"16939-29593","WR","Marqise","","Lee","7.5444446139865455","9","4800","JAC@DET","JAC","DET","","","",""
"16939-22433","TE","Dominique","","Jones","3.5999999046325684","4","4800","MIA@LA","MIA","LA","","","",""
"16939-29780","TE","Zach","","Ertz","6.385714394705636","7","4700","PHI@SEA","PHI","SEA","Q","Hamstring","",""
"16939-25813","WR","Phillip","","Dorsett","5.962500095367432","8","4700","TEN@IND","IND","TEN","","","",""
"16939-12538","D","Los Angeles","","Rams","7.777777777777778","9","4700","MIA@LA","LA","MIA","","","",""
"16939-12543","D","New York","","Giants","6.555555555555555","9","4700","CHI@NYG","NYG","CHI","","","",""
"16939-6422","TE","Gary","","Barnidge","6.3900001525878904","10","4700","PIT@CLE","CLE","PIT","","","",""
"16939-32045","TE","Vance","","McDonald","7.585714067731585","7","4700","NE@SF","SF","NE","","","",""
"16939-60745","K","Jason","","Myers","7.222222222222222","9","4700","JAC@DET","JAC","DET","","","",""
"16939-31073","RB","Knile","","Davis","1.0500000317891438","6","4700","TB@KC","KC","TB","","","",""
"16939-41370","WR","Trevor","","Davis","0.987500011920929","8","4700","GB@WAS","GB","WAS","","","",""
"16939-21957","WR","Kendall","","Wright","8.914285932268415","7","4700","TEN@IND","TEN","IND","","","",""
"16939-43504","RB","Don","","Jackson","1.0666666825612385","3","4700","GB@WAS","GB","WAS","IR","Knee","",""
"16939-39445","WR","Brice","","Butler","3.75","8","4700","BAL@DAL","DAL","BAL","","","",""
"16939-29357","RB","Kenjon","","Barner","3.3428570883614674","7","4700","PHI@SEA","PHI","SEA","","","",""
"16939-6897","K","Mason","","Crosby","8.333333333333334","9","4700","GB@WAS","GB","WAS","","","",""
"16939-27441","RB","Damien","","Williams","7.625","8","4700","MIA@LA","MIA","LA","","","",""
"16939-30635","RB","Mike","","Davis","1.8571428571428572","7","4700","NE@SF","SF","NE","","","",""
"16939-25783","RB","Mike","","James","2.5999999046325684","2","4600","TB@KC","TB","KC","","","",""
"16939-12532","D","Detroit","","Lions","5","9","4600","JAC@DET","DET","JAC","","","",""
"16939-32058","K","Chris","","Boswell","6","9","4600","PIT@CLE","PIT","CLE","","","",""
"16939-54623","WR","Jeff","","Janis","3.0499998728434243","6","4600","GB@WAS","GB","WAS","","","",""
"16939-11712","RB","Joique","","Bell","0.6000000238418579","1","4600","CHI@NYG","CHI","NYG","","","",""
"16939-22003","RB","Ronnie","","Hillman","2.5999999046325684","4","4600","ARI@MIN","MIN","ARI","","","",""
"16939-39427","WR","Quinton","","Patton","5.388888888888889","9","4600","NE@SF","SF","NE","","","",""
"16939-39449","WR","Charles","","Johnson","1.7000000476837158","8","4600","ARI@MIN","MIN","ARI","","","",""
"16939-22113","RB","Alfred","","Morris","3.8111110263400607","9","4600","BAL@DAL","DAL","BAL","","","",""
"16939-6782","K","Matt","","Prater","9","9","4600","JAC@DET","DET","JAC","","","",""
"16939-29314","TE","Richard","","Rodgers","4.125","8","4600","GB@WAS","GB","WAS","","","",""
"16939-15006","RB","Shaun","","Draughn","3.942857197352818","7","4600","NE@SF","SF","NE","","","",""
"16939-22219","WR","Jermaine","","Kearse","4.855555640326606","9","4600","PHI@SEA","SEA","PHI","","","",""
"16939-27411","RB","Aaron","","Ripkowski","1.9","5","4600","GB@WAS","GB","WAS","","","",""
"16939-14245","RB","Shane","","Vereen","9.40000025431315","3","4600","CHI@NYG","NYG","CHI","IR","Triceps","",""
"16939-31748","WR","Levi","","Norwood","0","0","4500","PIT@CLE","PIT","CLE","","","",""
